concentration	[PS]  uM	us'x (cm^-1)	ueffx (cm^-1)	uax (cm^-1)	P0 (mW)	r offset (cm)	z offset z2 (cm)	z offset z1 (cm)
D1-Nov.6/13-p	0	4.425	1.483	0.165		2.8	0.55	0.15
D2-Nov.6/13-p	0	5.76	1.44	0.12		2.6	0.5	0.15
F1-Oct.25/13-p	0	20.3179	4.14	0.28		1.7	0.55	0.2
F2-Nov.6/13-p	0	21.4	3.2	0.159		1.7	0.55	0.05
H1-Nov.6/13-p	0	9.94	4.99	0.836		1.1	0.55	0.05
H2-Oct.25/13-p	0	10.101	7.14	1.68		1.1	0.3	0
D1-Nov.6/13-p	2	7.3	1.72	0.134	40.4	2.8	0.55	0.15
D2-Nov.6/13-p	2	4.59	1.729	0.216	34.39	2.5	0.5	0.15
F1-Oct.25/13-p	2	32.9	5.36	0.29	61.08	1.7	0.55	0.2
F2-Nov.6/13-p	2	19.16	3.72	0.241	58.59	1.9	0.55	0.05
H1-Nov.6/13-p	2	7.38	4.79	1.039	46.56	1.2	0.55	0.05
H2-Oct.25/13-p	2	22.98	8.459	1.037	149	1.1	0.3	0
D1-Nov.6/13-p	15	4.548	2.13	0.333	34.07	1.8	0.55	0.15
D2-Nov.6/13-p	15	4.47	2.47	0.457	34.31	1.9	0.5	0.15
F1-Oct.25/13-p	15	34.9	7.48	0.534	61.1	1.1	0.55	0.2
F2-Nov.6/13-p	15	18.11	5.04	0.468	55.42	1.4	0.55	0.05
H1-Nov.6/13-p	15	7.015	5.56	1.469	51.06	1.1	0.55	0.05
H2-Oct.25/13-p	15	22.85	8.46	1.04	148.13	1.1	0.3	0
D1-Nov.6/13-p	36	3.314	2.74	0.76	33.9	1.4	0.55	0.15
D2-Nov.6/13-p	36	4.46	3.51	0.92	34.02	1.3	0.5	0.15
F1-Oct.25/13-p	36	12.53	7.169	1.36	76.2	1.1	0.55	0.2
F2-Nov.6/13-p	36	11.1	5.849	1.02	79.98	1.1	0.55	0.05
H1-Nov.6/13-p	36	5.13	5.58	2.02	84.28	1.1	0.55	0.05
H2-Oct.25/13-p	36	8.39	7.83	2.43	80.15	1.1	0.3	0
								
D1-Nov.6/13-c	0	5.108	1.7617		2.8	0.55	0.05	
D2-Nov.6/13-c	0	6.64	0.115		2.8	0.55	0.05	
F1-Nov.6/13-c	0	20.24	0.2533		1.9	0.55	0.05	
F2-Nov.7/13-c	0	23	0.138		1.8	0.55	0.05	
H1-Nov.6/13-c	0	9.9	0.944		1.3	0.55	0.05	
H2-Nov.7/13-c	0	11	1.11		1.2	0.45	0.05	
D1-Nov.6/13-c	1.34	5.2	0.198	36.66	2.7	0.55	0.05	
D2-Nov.6/13-c	1.34	4.82	1.424	34.09	2.7	0.55	0.05	
F1-Nov.6/13-c	1.34	21.6	3.76	29.74	1.7	0.55	0.05	
F2-Nov.7/13-c	1.34	15	3.028	45.21	1.7	0.55	0.05	
H1-Nov.6/13-c	1.34	9.95	4.774	68.86	1.4	0.55	0.05	
H2-Nov.7/13-c	1.34	9.97	6.121	66.47	1.1	0.45	0.05	
D1-Nov.6/13-c	5	4.61	2.019	34.36	2.3	0.55	0.05	
D2-Nov.6/13-c	5	4.382	1.609	34.21	2.3	0.55	0.05	
F1-Nov.6/13-c	5	11.523	3.96	29.72	1.3	0.55	0.05	
F2-Nov.7/13-c	5	11.67	3.27	45.2	1.5	0.55	0.05	
H1-Nov.6/13-c	5	5.982	4.356	63.29	1.3	0.55	0.05	
H2-Nov.7/13-c	5	7.07	6.058	80.54	1.1	0.45	0.05	
D1-Nov.6/13-c	15	4.08	2.21	34.16	1.8	0.55	0.05	
D2-Nov.6/13-c	15	3.478	2.074	34.12	1.8	0.55	0.05	
F1-Nov.6/13-c	15	10.62	4.738	29.8	1.1	0.55	0.05	
F2-Nov.7/13-c	15	8.71	3.92	45.2	1.3	0.55	0.05	
H2-Nov.7/13-c	15	7.446	6.14	97.66	1.1	0.45	0.05	
